customer_id,name,email,created_at,country,timezone
C00001,Brandon Bender,user1@hotmail.com,2024-06-26 15:04:23,Antigua and Barbuda,Europe/Berlin
C00002,Annette Gomez,user2@gmail.com,2025-06-20 05:04:19,Antarctica (the territory South of 60 deg S),UTC
C00003,Marcus Gilbert,user3@gmail.com,2022-09-05 13:56:40,Bermuda,UTC
C00004,Sarah Gordon,user4@gmail.com,2023-05-23 09:29:05,Bahrain,Europe/Berlin
C00005,Julie Guzman,user5@gmail.com,2025-06-13 12:27:38,Malaysia,Europe/London
C00006,Roger Brown,user6@yahoo.com,2025-01-27 10:09:20,Liberia,Asia/Kolkata
C00007,Matthew Gonzalez,user7@hotmail.com,2024-02-14 19:38:46,Papua New Guinea,Asia/Kolkata
C00008,Andrea Cook,user8@hotmail.com,2022-09-10 22:54:38,Lebanon,Asia/Kolkata
C00009,Anthony Matthews,user9@gmail.com,2025-05-29 03:19:22,Belarus,Europe/Berlin
C00010,Alexander Reed,user10@gmail.com,2024-12-24 18:08:53,Zimbabwe,UTC
C00011,Eric Williams,user11@yahoo.com,2024-11-11 19:23:34,Panama,Europe/Berlin
C00012,Christopher Blevins,user12@gmail.com,2022-10-13 10:18:41,Slovakia (Slovak Republic),Europe/Berlin
C00013,James Bailey,user13@yahoo.com,2024-08-02 13:15:42,Myanmar,Asia/Singapore
C00014,Richard Ruiz,user14@hotmail.com,2024-08-08 04:07:04,Turkmenistan,UTC
C00015,Richard Briggs,user15@yahoo.com,2023-05-03 00:21:44,Falkland Islands (Malvinas),Asia/Singapore
C00016,Jennifer Hammond,user16@hotmail.com,2023-02-20 09:49:40,Bosnia and Herzegovina,America/New_York
C00017,Robert Scott,user17@gmail.com,2024-09-03 16:58:51,Guatemala,UTC
C00018,Rhonda Moore,user18@yahoo.com,2023-01-26 23:47:02,Cape Verde,UTC
C00019,Jillian Jones,user19@yahoo.com,2023-12-27 11:56:22,Croatia,UTC
C00020,Regina Robinson,user20@gmail.com,2022-10-25 03:04:17,Somalia,Asia/Kolkata
C00021,Mrs. Julia Richards DVM,user21@hotmail.com,2025-08-02 10:25:07,Japan,Asia/Kolkata
C00022,Cory Tanner,user22@yahoo.com,2023-06-21 14:37:41,Macao,Asia/Singapore
C00023,Heather Trevino,user23@hotmail.com,2023-08-14 02:18:07,Tuvalu,Asia/Singapore
C00024,Troy Harris,user24@gmail.com,2025-08-07 03:19:04,Suriname,UTC
C00025,Kathryn Ayala,user25@hotmail.com,2024-02-10 12:59:35,Latvia,Asia/Singapore
